Date	Time	Severity	PID	TID	Function	Message
27-10-2025	10:50:13.670	 INFO	 86216	 22112	DllMain	"DLL_PROCESS_ATTACH Fri Sep 26 20:08:35 2025 11.4.2500.11"
27-10-2025	10:50:13.674	 INFO	 86216	 19356	LateInitialization	"Intialization..."
27-10-2025	10:50:13.675	 INFO	 86216	 19356	LateInitialization	"Exe = C:\Users\jgarcia\AppData\Local\Programs\Git\usr\bin\bash.exe"
27-10-2025	10:50:13.676	 INFO	 86216	 19356	LateInitialization	"IsExplorer = 0"
27-10-2025	10:50:13.677	 INFO	 86216	 19356	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
27-10-2025	10:50:13.678	 INFO	 86216	 19356	LateInitialization	"Intialization finished"
27-10-2025	10:50:29.049	 INFO	 88488	 91652	DllMain	"DLL_PROCESS_ATTACH Fri Sep 26 20:08:35 2025 11.4.2500.11"
27-10-2025	10:50:29.051	 INFO	 88488	 88548	LateInitialization	"Intialization..."
27-10-2025	10:50:29.052	 INFO	 88488	 88548	LateInitialization	"Exe = C:\Users\jgarcia\AppData\Local\Programs\Git\usr\bin\bash.exe"
27-10-2025	10:50:29.053	 INFO	 88488	 88548	LateInitialization	"IsExplorer = 0"
27-10-2025	10:50:29.055	 INFO	 88488	 88548	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
27-10-2025	10:50:29.056	 INFO	 88488	 88548	LateInitialization	"Intialization finished"
